123,Atlanta Classical Academy,PARTNER
124,Atlanta Mission,PARTNER
125,Atlanta VA Medical Center,PARTNER
126,Babies Can't Wait,PARTNER
127,Berkeley Lake Elementary School,PARTNER
128,Building Blocks International Inc,PARTNER
129,catholic charities atlanta,PARTNER
130,Church Without Walls,PARTNER
131,Cohort Communities,PARTNER
132,Dekalb County School District,PARTNER
133,Empowered Transitions Counseling,PARTNER
134,Empowering Men And Women on the Move for Re-Entry Inc,PARTNER
135,Evangelical Church Salem,PARTNER
136,Faithbridge Youth Opportunities,PARTNER
137,Family and Children Advocate,PARTNER
138,Family Promise of Gwinnett County,PARTNER
139,Family Promise of North Fulton/DeKalb,PARTNER
140,FFM,PARTNER
141,Finding Harmony Recovery,PARTNER
142,First Baptist Church Duluth,PARTNER
143,Foster Care Support Foundation/Hope 4 Tomorrow Mentoring,PARTNER
144,Foster Care Support Foundation/Hope 4 Tomorrow Mentoring,PARTNER
145,Fostering Together (at Gwinnett Church),PARTNER
146,Fully furnished ministers,PARTNER
147,Fulton County Schools Social Work Department,PARTNER
148,Gateway,PARTNER
149,Gateway Center,PARTNER
150,Gateway Domestic Violence Center,PARTNER
151,Generations Norcross Church,PARTNER
152,Georgia Coalition Against Domestic Violence,PARTNER
153,Gracepointe Community Church,PARTNER
154,"Hannah's House & Clothes Closet, LLC",PARTNER
155,Heirborn Servants,PARTNER
156,"HireLiving, Inc.",PARTNER
157,Home Repairs Ministries,PARTNER
158,Housing Plus Inc.,PARTNER
159,HTS (Formerly Hope Thru Soap),PARTNER
160,"HTS, Inc.",PARTNER
161,I Can Think Postive counseling service,PARTNER
162,Iglesia Bautista Belen,PARTNER
163,Keep inspiring dreams inc,PARTNER
164,Kinship Navigator,PARTNER
165,Latin American Association,PARTNER
166,Matumaini self help group projects,PARTNER
167,Mend Culture Inc.,PARTNER
168,Mothers Advocacy Project,PARTNER
169,"Mothers Advocacy Project, Inc.",PARTNER
170,My Style Matters (Breast Cancer Non-Profit),PARTNER
171,N/A,PARTNER
172,National Charity League - Dunwoody Chapter,PARTNER
173,NETWorks Cooperative Ministry,PARTNER
174,New Beginnings Praise and Worship,PARTNER
175,New Life Community Ministries,PARTNER
176,"New Progressions, LLC",PARTNER
177,Next Step Care,PARTNER
178,Nicholas House,PARTNER
179,North Fulton Community Charities,PARTNER
180,North fulton county homeless assessment center/gateway center,PARTNER
181,Northlake Church of Christ,PARTNER
182,OneStop 4 Help,PARTNER
183,Operation Rally Point,PARTNER
184,Parkview Church,PARTNER
185,PartnersInCharitableGiving,PARTNER
186,Peace of Mind Transitions,PARTNER
187,Perimeter Church,PARTNER
188,Positive Impact,PARTNER
189,Powder Springs First United Methodist Church,PARTNER
190,Project Community Connections Inc.,PARTNER
191,"Project Community Connections, Inc.",PARTNER
192,Raegan Thorp Real Estate Group,PARTNER
193,Reborn Minds Inc,PARTNER
194,Recovery Foundations Inc,PARTNER
195,Return to normalcy,PARTNER
196,Saint Vic Paul,PARTNER
197,Saint Vincent de Paul,PARTNER
198,Salvation Army,PARTNER
199,Salvation Army,PARTNER
200,Senior Advisory Services,PARTNER
201,Senior Services North Fulton,PARTNER
202,So Far So Close,PARTNER
203,Society of St. Vincent de Paul at St. Andrew Catholic Church,PARTNER
204,Society of St. Vincent de Paul at St. Andrew Catholic Church,PARTNER
205,Solidarity Sandy Springs,PARTNER
206,Souldiers,PARTNER
207,St David's Episcopal Church,PARTNER
208,St Vincent de Paul,PARTNER
209,St Vincent de Paul. St Peter Chanel Chapter,PARTNER
210,St. David's Episcopal Church,PARTNER
211,St. Paul United Methodist Church,PARTNER
212,St. Vincent de Paul St. Theresa Conference,PARTNER
213,St. Vincent de Paul/ Our Lady of the Assumption conference,PARTNER
214,Still Waters Church,PARTNER
215,Svdp All Saints Dunwoody,PARTNER
216,The Church Covington,PARTNER
217,The Lawrenceville Cooperative Ministry,PARTNER
218,"The Legacy Case Management, Inc.",PARTNER
219,The nsoro Educational Foundation,PARTNER
220,The Salvation Army,PARTNER
221,The Salvation Army Gwinnett,PARTNER
222,The Warrior Alliance,PARTNER
223,Think Of Us,PARTNER
224,TMT Wholistic Cobsulting One Stop Resource,PARTNER
225,Toolast LLC,PARTNER
226,True Worship Christian Fellowship Church,PARTNER
227,View Point Health,PARTNER
228,View Point Health,PARTNER
229,Wellbe Senior Medical,PARTNER
230,Wellroot Family Services,PARTNER
231,Zaban Paradies Center,PARTNER
